"","X","data_listing_id","data_title","data_display_title","data_url","data_installment","data_image_src","data_compare_image","data_make","data_model","data_year","data_mileage","data_transmission","data_ad_type","data_variant","data_seller_id","data_profile_id","data_listing_trusted","data_dealer_isverified","data_view_store","data_country_code","data_vehicle_type","listing_price","listing_rating"
"11",11,9493096,"2022 Proton X70 1.5 TGDI Standard SUV **FAST STOCK** - Call to BOOK NOW","2022 Proton X70 1.5 TGDI Standard SUV","https://www.carlist.my/new-cars/2022-proton-x70-1-5-tgdi-standard-suv-fast-stock-call-to-book-now/9493096","1281","https://img1.icarcdn.com/6903949/main-m_new-car-carlist-proton-x70-tgdi-standard-suv-malaysia_000006903949_6635a280_92f7_47e7_94be_021936fb3551.jpeg.webp?smia=xTM","https://img1.icarcdn.com/6903949/thumb-l_new-car-carlist-proton-x70-tgdi-standard-suv-malaysia_000006903949_6635a280_92f7_47e7_94be_021936fb3551.jpeg.webp?smia=xTM","Proton","X70",2022,0,"Automatic","New","TGDI Standard","7dc1544a-c29f-e511-94b7-0261ba99cd9c","80c1544a-c29f-e511-94b7-0261ba99cd9c","false","ʉʏʈʘ","false","my","car","98800",4.5
"12",12,8410412,"2022 Perodua Myvi 1.5 AV Hatchback","2022 Perodua Myvi 1.5 AV Hatchback","https://www.carlist.my/new-cars/2022-perodua-myvi-1-5-av-hatchback/8410412","777","https://img1.icarcdn.com/2140148/main-m_new-car-carlist-perodua-myvi-av-hatchback-malaysia_000002140148_f537d5c2_c1ee_40c9_875e_b94bb7cc5306.jpg.webp?smia=xTM","https://img1.icarcdn.com/2140148/thumb-l_new-car-carlist-perodua-myvi-av-hatchback-malaysia_000002140148_f537d5c2_c1ee_40c9_875e_b94bb7cc5306.jpg.webp?smia=xTM","Perodua","Myvi",2022,0,"Automatic","New","AV","3d8f5eaa-8eea-41e1-b72b-9f6bb8b6b1f1","a4457738-0bec-4640-9b34-d6182b9f8f73","false","ʉʏʈʘ","false","my","car","59900",4.2
"13",13,9792546,"2022 Perodua Alza 1.5 Advance MPV","2022 Perodua Alza 1.5 Advance MPV","https://www.carlist.my/new-cars/2022-perodua-alza-1-5-advance-mpv/9792546","979","https://img1.icarcdn.com/6452979/main-m_new-car-carlist-perodua-alza-advance-mpv-malaysia_000006452979_f789c016_fbac_40a2_bb60_4d9dad58f37a.jpg.webp?smia=xTM","https://img1.icarcdn.com/6452979/thumb-l_new-car-carlist-perodua-alza-advance-mpv-malaysia_000006452979_f789c016_fbac_40a2_bb60_4d9dad58f37a.jpg.webp?smia=xTM","Perodua","Alza",2022,0,"Automatic","New","Advance","3d8f5eaa-8eea-41e1-b72b-9f6bb8b6b1f1","a4457738-0bec-4640-9b34-d6182b9f8f73","false","ʉʏʈʘ","false","my","car","75500",4
"14",14,10954603,"2022 Honda City 1.5 V Sensing **December Ready Stock**","2022 Honda City 1.5 V Sensing Sedan","https://www.carlist.my/new-cars/2022-honda-city-1-5-v-sensing-december-ready-stock/10954603","1149","https://img1.icarcdn.com/30645901/main-m_new-car-carlist-honda-city-v-sensing-sedan-malaysia_000030645901_5f6d1d38_a4de_47c7_868e_9ee3b1b088ae.jpeg.webp?smia=xTM","https://img1.icarcdn.com/30645901/thumb-l_new-car-carlist-honda-city-v-sensing-sedan-malaysia_000030645901_5f6d1d38_a4de_47c7_868e_9ee3b1b088ae.jpeg.webp?smia=xTM","Honda","City",2022,0,"Automatic","New","V Sensing","44e048c5-e98c-4221-b5af-c2d2afb222cc","ba5d9796-e4fb-497f-a2f4-a69456b7067b","false","ʉʏʈʘ","false","my","car","88599",4.4
"15",15,8906372,"2022 Mitsubishi Triton 2.4 VGT Pickup Truck AUTO 4X4 BIG-BIG DISCOUNT","2022 Mitsubishi Triton 2.4 VGT Pickup Truck","https://www.carlist.my/new-cars/2022-mitsubishi-triton-2-4-vgt-pickup-truck-auto-4x4-big-big-discount/8906372","1387","https://img1.icarcdn.com/2736098/main-m_new-car-carlist-mitsubishi-triton-vgt-pickup-truck-malaysia_000002736098_da0266dd_87e1_403f_9d31_0172b8c1dad0.jpeg.webp?smia=xTM","https://img1.icarcdn.com/2736098/thumb-l_new-car-carlist-mitsubishi-triton-vgt-pickup-truck-malaysia_000002736098_da0266dd_87e1_403f_9d31_0172b8c1dad0.jpeg.webp?smia=xTM","Mitsubishi","Triton",2022,0,"Automatic","New","VGT","f1d9d1b9-4deb-e311-94af-0261ba99cd9c","f8efcd23-69eb-e311-94af-0261ba99cd9c","false","ʉʏʈʘ","false","my","car","106990",4.8
"16",16,7071236,"MERDEKA PROMOTION NISSAN ALL NEW ALMERA TURBO 1.0T","2020 Nissan Almera 1.5 VL Sedan","https://www.carlist.my/new-cars/merdeka-promotion-nissan-all-new-almera-turbo-1-0t/7071236","1088","https://img1.icarcdn.com/6321707/main-m_new-car-carlist-nissan-almera-vl-sedan-malaysia_6321707_0WlxedPAOUubBwKN0KeRTo.jpeg?smia=xTM","https://img1.icarcdn.com/6321707/thumb-l_new-car-carlist-nissan-almera-vl-sedan-malaysia_6321707_0WlxedPAOUubBwKN0KeRTo.jpeg?smia=xTM","Nissan","Almera",2020,0,"Automatic","New","VL","49dde332-cc15-e611-94b7-0261ba99cd9c","50dde332-cc15-e611-94b7-0261ba99cd9c","true","ʉʏʈʘ","true","my","car","83888",4
"17",17,9892417,"2022 Nissan Serena 2.0 S-Hybrid Highway Star MPV 25 YEARS SALES EXPERIENCE DIRECT HQ OFFER","2022 Nissan Serena 2.0 S-Hybrid High-Way Star Two-Tone Color MPV","https://www.carlist.my/new-cars/2022-nissan-serena-2-0-s-hybrid-highway-star-mpv-25-years-sales-experience-direct-hq-offer/9892417","1943","https://img1.icarcdn.com/7142989/main-m_new-car-carlist-nissan-serena-s-hybrid-high-way-star-mpv-malaysia_000007142989_f6a78507_8c3c_4721_a7d0_5e06bdb20aca.jpeg.webp?smia=xTM","https://img1.icarcdn.com/7142989/thumb-l_new-car-carlist-nissan-serena-s-hybrid-high-way-star-mpv-malaysia_000007142989_f6a78507_8c3c_4721_a7d0_5e06bdb20aca.jpeg.webp?smia=xTM","Nissan","Serena",2022,0,"Automatic","New","S-Hybrid High-Way Star Two-Tone Color","49dde332-cc15-e611-94b7-0261ba99cd9c","50dde332-cc15-e611-94b7-0261ba99cd9c","true","ʉʏʈʘ","true","my","car","149888",4
"18",18,8070912,"Malaysia Day Promotion 2022 Nissan Navara 2.5 Pro-4X Pickup Truck","2021 Nissan Navara 2.5 VL Pickup Truck","https://www.carlist.my/new-cars/malaysia-day-promotion-2022-nissan-navara-2-5-pro-4x-pickup-truck/8070912","1926","https://img1.icarcdn.com/2190708/main-m_new-car-carlist-nissan-navara-vl-pickup-truck-malaysia_000002190708_3d212ba8_8437_4a2c_8593_8f83d8409b05.jpeg.webp?smia=xTM","https://img1.icarcdn.com/2190708/thumb-l_new-car-carlist-nissan-navara-vl-pickup-truck-malaysia_000002190708_3d212ba8_8437_4a2c_8593_8f83d8409b05.jpeg.webp?smia=xTM","Nissan","Navara",2021,0,"Automatic","New","VL","49dde332-cc15-e611-94b7-0261ba99cd9c","50dde332-cc15-e611-94b7-0261ba99cd9c","true","ʉʏʈʘ","true","my","car","148600",3.7
"19",19,4635528,"MERDEKA DAY PROMOTION ( 25 YEARS SALES EXPERIENCE ) ( HQKL)  NISSAN NV200 1.6 PANEL VAN","2019 Nissan NV200 1.6 Panel Van","https://www.carlist.my/new-cars/merdeka-day-promotion-25-years-sales-experience-hqkl-nissan-nv200-1-6-panel-van/4635528","1036","https://img1.icarcdn.com/8255364/main-m_new-car-carlist-nissan-nv200-panel-van-malaysia_8255364_tC0tldA96VfbgEmB67nl86.jpeg?smia=xTM","https://img1.icarcdn.com/8255364/thumb-l_new-car-carlist-nissan-nv200-panel-van-malaysia_8255364_tC0tldA96VfbgEmB67nl86.jpeg?smia=xTM","Nissan","NV200",2019,0,"Manual","New","Panel","49dde332-cc15-e611-94b7-0261ba99cd9c","50dde332-cc15-e611-94b7-0261ba99cd9c","true","ʉʏʈʘ","true","my","car","79888",NA
"20",20,10848279,"KAW KAW CRAZY OFFER PRE REGISTER NEW 2022 Proton X70 1.8 TGDI Premium SUV","2022 Proton X70 1.8 TGDI Premium SUV","https://www.carlist.my/new-cars/kaw-kaw-crazy-offer-pre-register-new-2022-proton-x70-1-8-tgdi-premium-suv/10848279","1501","https://img1.icarcdn.com/97284801/main-m_new-car-carlist-proton-x70-tgdi-premium-suv-malaysia_000097284801_d08abe5f_ffdb_4776_a947_3b1be96c0dae.JPG.webp?smia=xTM","https://img1.icarcdn.com/97284801/thumb-l_new-car-carlist-proton-x70-tgdi-premium-suv-malaysia_000097284801_d08abe5f_ffdb_4776_a947_3b1be96c0dae.JPG.webp?smia=xTM","Proton","X70",2022,0,"Automatic","New","TGDI Premium","97d320c8-0b27-44ca-95c9-803aec677ec2","068b5776-364c-4f78-8ef3-47b6917de4bd","false","ʉʏʈʘ","false","my","car","115800",4.5
"21",21,8973714,"2022 Mercedes-Benz C200 1.5 Avantgarde Sedan","2022 Mercedes-Benz C200 1.5 Avantgarde Sedan","https://www.carlist.my/new-cars/2022-mercedes-benz-c200-1-5-avantgarde-sedan/8973714","3732","https://img1.icarcdn.com/4173798/main-m_new-car-carlist-mercedes-benz-c-class-c200-avantgarde-sedan-malaysia_000004173798_a68848f7_7854_4443_8859_2362bbbbd238.jpg.webp?smia=xTM","https://img1.icarcdn.com/4173798/thumb-l_new-car-carlist-mercedes-benz-c-class-c200-avantgarde-sedan-malaysia_000004173798_a68848f7_7854_4443_8859_2362bbbbd238.jpg.webp?smia=xTM","Mercedes-Benz","C200",2022,1,"Automatic","New","Avantgarde","f6ecd599-4452-e611-94c3-06e4185eac05","faecd599-4452-e611-94c3-06e4185eac05","false","ʉʏʈʘ","false","my","car","287888",3.9
"22",22,10287167,"2022 Mercedes-Benz C200 1.5 Avantgarde Sedan","2022 Mercedes-Benz C200 1.5 Avantgarde Sedan","https://www.carlist.my/new-cars/2022-mercedes-benz-c200-1-5-avantgarde-sedan/10287167","3732","https://img1.icarcdn.com/76178201/main-m_new-car-carlist-mercedes-benz-c-class-c200-avantgarde-sedan-malaysia_000076178201_ddb47862_bb58_4a00_a148_7569dcc4ea5d.jpeg.webp?smia=xTM","https://img1.icarcdn.com/76178201/thumb-l_new-car-carlist-mercedes-benz-c-class-c200-avantgarde-sedan-malaysia_000076178201_ddb47862_bb58_4a00_a148_7569dcc4ea5d.jpeg.webp?smia=xTM","Mercedes-Benz","C200",2022,0,"Automatic","New","Avantgarde","7a0e29d7-c721-400c-9f89-5a1bae1b2d52","693681d8-a265-439a-87d4-eca1e9e8950c","false","ʉʏʈʘ","false","my","car","287888",3.9
"23",23,8602966,"2022 Perodua Aruz 1.5 X SUV (READY STOK) - CALL SAYA & TEMPAH SEKARANG","2022 Perodua Aruz 1.5 X SUV","https://www.carlist.my/new-cars/2022-perodua-aruz-1-5-x-suv-ready-stok-call-saya-tempah-sekarang/8602966","945","https://img1.icarcdn.com/6692068/main-m_new-car-carlist-perodua-aruz-x-suv-malaysia_000006692068_1ed9be0d_cdb9_4a17_82cc_d6a1dfd8acaf.jpg.webp?smia=xTM","https://img1.icarcdn.com/6692068/thumb-l_new-car-carlist-perodua-aruz-x-suv-malaysia_000006692068_1ed9be0d_cdb9_4a17_82cc_d6a1dfd8acaf.jpg.webp?smia=xTM","Perodua","Aruz",2022,0,"Automatic","New","X","8a201bca-292e-414a-ac7f-2c536c610eba","11021ba1-35a1-415a-88d8-b0d9f9ebf5f3","false","ʉʏʈʘ","false","my","car","72900",3.9
"24",24,10664122,"2022 TESLA Model 3 Standard New Car Japan spec","2022 TESLA Model 3 Standard Range Sedan","https://www.carlist.my/new-cars/2022-tesla-model-3-standard-new-car-japan-spec/10664122","3565","https://img1.icarcdn.com/22146601/main-m_new-car-carlist-tesla-model-3-standard-range-sedan-malaysia_000022146601_937bedfd_2184_4d34_84f9_c0960ebf386f.jpeg.webp?smia=xTM","https://img1.icarcdn.com/22146601/thumb-l_new-car-carlist-tesla-model-3-standard-range-sedan-malaysia_000022146601_937bedfd_2184_4d34_84f9_c0960ebf386f.jpeg.webp?smia=xTM","TESLA","Model 3",2022,0,"Automatic","New","Standard Range","1e0d929e-14a1-e411-94b6-0261ba99cd9c","240d929e-14a1-e411-94b6-0261ba99cd9c","true","ʉʏʈʘ","true","my","car","275000",NA
"25",25,7448294,"PROTON PENANG 3S PLATINUM DEALER - 2022 Proton X50 1.5 (A) READY STOCK","2022 Proton X50 1.5 TGDI Flagship SUV","https://www.carlist.my/new-cars/proton-penang-3s-platinum-dealer-2022-proton-x50-1-5-a-ready-stock/7448294","1110","https://img1.icarcdn.com/4928447/main-m_new-car-carlist-proton-x50-tgdi-flagship-suv-malaysia_000004928447_83100944_2189_49a7_91e0_64115f121369.jpg?smia=xTM","https://img1.icarcdn.com/4928447/thumb-l_new-car-carlist-proton-x50-tgdi-flagship-suv-malaysia_000004928447_83100944_2189_49a7_91e0_64115f121369.jpg?smia=xTM","Proton","X50",2022,0,"Automatic","New","TGDI Flagship","b6ae332f-dab7-41d1-9a36-0b360bcaf825","2fd5aa4f-2efe-43c3-8cce-f6201b7433b3","true","ʉʏʈʘ","true","my","car","85655",NA
"26",26,7439931,"PROTON PENANG 3S PLATINUM DEALER - 2022 Proton X70 1.5 (A) READY STOCK","2022 Proton X70 1.5 TGDI Executive SUV","https://www.carlist.my/new-cars/proton-penang-3s-platinum-dealer-2022-proton-x70-1-5-a-ready-stock/7439931","1272","https://img1.icarcdn.com/1399347/main-m_new-car-carlist-proton-x70-tgdi-premium-suv-malaysia_000001399347_2a3b2a76_683b_4fc7_9b93_f71d2e4b17ce.jpeg?smia=xTM","https://img1.icarcdn.com/1399347/thumb-l_new-car-carlist-proton-x70-tgdi-premium-suv-malaysia_000001399347_2a3b2a76_683b_4fc7_9b93_f71d2e4b17ce.jpeg?smia=xTM","Proton","X70",2022,0,"Automatic","New","TGDI Executive","b6ae332f-dab7-41d1-9a36-0b360bcaf825","2fd5aa4f-2efe-43c3-8cce-f6201b7433b3","true","ʉʏʈʘ","true","my","car","98123",4.5
"27",27,7254678,"HONDA PENANG (BM) - 2022 Honda City 1.5 E i-VTEC (A) EXTRA CASH REBATES + YEAR END BONUS + MORE, CALL NOW FOR MORE INFORMATION","2022 Honda City 1.5 E i-VTEC Sedan","https://www.carlist.my/new-cars/honda-penang-bm-2022-honda-city-1-5-e-i-vtec-a-extra-cash-rebates-year-end-bonus-more-call-now-for-more-information/7254678","1060","https://img1.icarcdn.com/8764527/main-m_new-car-carlist-honda-city-e-i-vtec-sedan-malaysia_50cae5814e603c49116e828aca1fe99c_Mi7svCEs2TCTmnoRnwHM96_8764527_KsWaWFYWiNto244jhylEw1.jpg?smia=xTM","https://img1.icarcdn.com/8764527/thumb-l_new-car-carlist-honda-city-e-i-vtec-sedan-malaysia_50cae5814e603c49116e828aca1fe99c_Mi7svCEs2TCTmnoRnwHM96_8764527_KsWaWFYWiNto244jhylEw1.jpg?smia=xTM","Honda","City",2022,0,"Automatic","New","E i-VTEC","c99ef1ac-a828-e611-94c3-06e4185eac05","cd9ef1ac-a828-e611-94c3-06e4185eac05","true","ʉʏʈʘ","true","my","car","81760",4.4
"28",28,10542081,"2022 Hyundai Santa Fe 2.2 R Executive SUV **BIG DISCOUNT RM 17xxx** - Call Me NOW","2022 Hyundai Santa Fe 2.2 R Executive SUV","https://www.carlist.my/new-cars/2022-hyundai-santa-fe-2-2-r-executive-suv-big-discount-rm-17xxx-call-me-now/10542081","2321","https://img1.icarcdn.com/18024501/main-m_new-car-carlist-hyundai-santa-fe-r-executive-suv-malaysia_000018024501_436889a7_27ef_4a9f_baaa_828c856570b7.jpeg.webp?smia=xTM","https://img1.icarcdn.com/18024501/thumb-l_new-car-carlist-hyundai-santa-fe-r-executive-suv-malaysia_000018024501_436889a7_27ef_4a9f_baaa_828c856570b7.jpeg.webp?smia=xTM","Hyundai","Santa Fe",2022,0,"Automatic","New","R Executive","80dba1d7-e69b-e611-94b9-0261ba99cd9c","83dba1d7-e69b-e611-94b9-0261ba99cd9c","false","ʉʏʈʘ","false","my","car","179000",4.8
"29",29,8371111,"2022 Honda City 1.5 V - SENSING","2021 Honda City 1.5 V i-VTEC Sedan","https://www.carlist.my/new-cars/2022-honda-city-1-5-v-sensing/8371111","1155","https://img1.icarcdn.com/1111738/main-m_new-car-carlist-honda-city-v-i-vtec-sedan-malaysia_000001111738_02cd9736_7282_44e1_b451_1f7fe1701aa6.jpg.webp?smia=xTM","https://img1.icarcdn.com/1111738/thumb-l_new-car-carlist-honda-city-v-i-vtec-sedan-malaysia_000001111738_02cd9736_7282_44e1_b451_1f7fe1701aa6.jpg.webp?smia=xTM","Honda","City",2021,0,"Automatic","New","V i-VTEC","3b60573c-58f0-4190-94d1-a54df08308d5","5de7feb5-a4b7-4993-82de-8af35446ea39","false","ʉʏʈʘ","false","my","car","89100",4.4
"30",30,10067912,"2022 Proton Saga Standard F/Loon/ReadyStock/Rebate/freetinted","2022 Proton Saga 1.3 Standard Sedan","https://www.carlist.my/new-cars/2022-proton-saga-standard-f-loon-readystock-rebate-freetinted/10067912","441","https://img1.icarcdn.com/21976001/main-m_new-car-carlist-proton-saga-standard-sedan-malaysia_000021976001_4e412cef_38a1_421d_a009_e9d288c88111.jpg.webp?smia=xTM","https://img1.icarcdn.com/21976001/thumb-l_new-car-carlist-proton-saga-standard-sedan-malaysia_000021976001_4e412cef_38a1_421d_a009_e9d288c88111.jpg.webp?smia=xTM","Proton","Saga",2022,0,"Automatic","New","Standard","83c98e92-38ba-4392-a07c-84e4e98dc6cd","8299d8d5-e5a3-4298-886b-0dc162c75b6b","false","ʉʏʈʘ","false","my","car","34000",3.9
"31",31,9318547,"2022 Proton Saga 1.3 maximum loan , new saga launch may 2022 MC2 .","2022 Proton Saga 1.3 Premium S Sedan","https://www.carlist.my/new-cars/2022-proton-saga-1-3-maximum-loan-new-saga-launch-may-2022-mc2/9318547","376","https://img1.icarcdn.com/7458139/main-m_new-car-carlist-proton-saga-premium-s-sedan-malaysia_000007458139_d976b75f_e276_42df_9f90_47f226a8fa96.jpeg.webp?smia=xTM","https://img1.icarcdn.com/7458139/thumb-l_new-car-carlist-proton-saga-premium-s-sedan-malaysia_000007458139_d976b75f_e276_42df_9f90_47f226a8fa96.jpeg.webp?smia=xTM","Proton","Saga",2022,0,"Automatic","New","Premium S","673fd48b-7a09-40ed-9ad7-2bc6fe7fc77b","fb67edae-1514-4fa9-8546-bcd982957b33","true","ʉʏʈʘ","false","my","car","29000",3.9
